epoch,train_loss,valid_loss,gen_loss,crit_loss,time
0,0.6933662295341492,2.30914044380188,2.30914044380188,0.6936884522438049,00:26
1,0.6938417553901672,2.309140682220459,2.309140682220459,0.6936540007591248,00:26
2,0.694139838218689,2.309140682220459,2.309140682220459,0.6874330043792725,00:26
3,0.6985412836074829,2.309140682220459,2.309140682220459,0.6936757564544678,00:26
4,0.6951398253440857,2.30914044380188,2.30914044380188,0.6921015381813049,00:26
5,0.694414496421814,2.309140682220459,2.309140682220459,0.6927966475486755,00:26
6,0.6948493123054504,2.30914044380188,2.30914044380188,0.6933230757713318,00:26
7,0.6995606422424316,2.309140682220459,2.309140682220459,0.693038821220398,00:26
8,0.6955915689468384,2.309140682220459,2.309140682220459,0.6936638355255127,00:26
9,0.695192813873291,2.30914044380188,2.30914044380188,0.6930572986602783,00:26
10,0.6947662830352783,2.309140682220459,2.309140682220459,0.6932885646820068,00:26
11,0.6954474449157715,2.30914044380188,2.30914044380188,0.6925163865089417,00:26
12,0.694462239742279,2.30914044380188,2.30914044380188,0.6924359798431396,00:26
13,0.6942543983459473,2.309140682220459,2.309140682220459,0.6923474073410034,00:26
14,0.6943522095680237,2.30914044380188,2.30914044380188,0.692314863204956,00:26
15,0.6942470073699951,2.30914044380188,2.30914044380188,0.6933205127716064,00:26
16,0.6983896493911743,2.30914044380188,2.30914044380188,0.6931002736091614,00:26
17,0.6958276629447937,2.30914044380188,2.30914044380188,0.6927184462547302,00:26
18,0.6950410604476929,2.30914044380188,2.30914044380188,0.6929419040679932,00:26
19,0.6943686604499817,2.30914044380188,2.30914044380188,0.692082405090332,00:26
20,0.6954452991485596,2.30914044380188,2.30914044380188,0.6941660642623901,00:26
21,0.6947287917137146,2.30914044380188,2.30914044380188,0.6911618709564209,00:26
22,0.6949390172958374,2.30914044380188,2.30914044380188,0.6935005784034729,00:26
23,0.6941319704055786,2.30914044380188,2.30914044380188,0.6931800246238708,00:26
24,0.6949329376220703,2.30914044380188,2.30914044380188,0.6945773363113403,00:26
25,0.6950714588165283,2.309140682220459,2.309140682220459,0.6927703022956848,00:26
26,0.6950860619544983,2.30914044380188,2.30914044380188,0.6936261653900146,00:26
27,0.6948601603507996,2.309140682220459,2.309140682220459,0.6934073567390442,00:26
28,0.6947448253631592,2.30914044380188,2.30914044380188,0.6931445598602295,00:27
29,0.6943866014480591,2.30914044380188,2.30914044380188,0.6941025257110596,00:26
