epoch,train_loss,valid_loss,accuracy_thresh_expand,time
0,0.7008824348449707,0.694219172000885,0.47373059391975403,00:27
1,0.6974934339523315,0.6957323551177979,0.4285714328289032,00:27
2,0.6977441906929016,0.6949318051338196,0.48245614767074585,00:27
3,0.698984682559967,0.6916569471359253,0.5105355978012085,00:27
4,0.6942752599716187,0.6966716051101685,0.4713636040687561,00:27
5,0.6979098320007324,0.6947237253189087,0.4285714328289032,00:27
6,0.6937271952629089,0.6941304206848145,0.4285714328289032,00:27
7,0.695563793182373,0.6935116648674011,0.44365543127059937,00:27
8,0.6935266852378845,0.6932021379470825,0.43135616183280945,00:27
9,0.6971738338470459,0.695020854473114,0.4285714328289032,00:27
10,0.6940594911575317,0.6934851408004761,0.4285714328289032,00:27
11,0.6952753663063049,0.6925002336502075,0.5714285969734192,00:27
12,0.6952111721038818,0.695523202419281,0.4285714328289032,00:27
13,0.6934908628463745,0.6950317621231079,0.4285714328289032,00:28
14,0.6939972639083862,0.6932071447372437,0.43980321288108826,00:28
15,0.6958039999008179,0.6939619779586792,0.4285714328289032,00:28
16,0.6940413117408752,0.6928994059562683,0.5703147053718567,00:28
17,0.694201648235321,0.6934881806373596,0.4285714328289032,00:28
18,0.6941280961036682,0.6930411458015442,0.5582010746002197,00:28
19,0.6937662363052368,0.6928320527076721,0.5684581995010376,00:28
20,0.6944599747657776,0.6936333775520325,0.4285714328289032,00:28
21,0.6938406825065613,0.6929429769515991,0.5523530840873718,00:28
22,0.693996012210846,0.6978859901428223,0.4285714328289032,00:28
23,0.6933372020721436,0.693992555141449,0.5677619576454163,00:28
24,0.6940194368362427,0.692719578742981,0.54706209897995,00:28
25,0.6922580599784851,0.6971068382263184,0.5263157486915588,00:28
26,0.6919856667518616,0.6954106688499451,0.5315603613853455,00:27
27,0.6843105554580688,0.6989952921867371,0.5238558650016785,00:27
28,0.6929714679718018,0.6950874328613281,0.5250626802444458,00:27
29,0.6877355575561523,0.6953339576721191,0.5291469097137451,00:27
30,0.6940926313400269,0.6958684921264648,0.42838579416275024,00:27
31,0.6913145184516907,0.6978965401649475,0.5226956605911255,00:27
32,0.6950237154960632,0.7021169662475586,0.4285714328289032,00:27
33,0.692270815372467,0.6975666880607605,0.5262693762779236,00:27
34,0.6912984848022461,0.6986831426620483,0.4285714328289032,00:27
35,0.6906740665435791,0.6990838050842285,0.553374171257019,00:27
36,0.69172602891922,0.6978988647460938,0.5284506678581238,00:27
37,0.6904135346412659,0.6988193988800049,0.5257588624954224,00:27
38,0.6927987933158875,0.6994099617004395,0.525016188621521,00:27
39,0.6920859813690186,0.6993342638015747,0.5133203268051147,00:27
40,0.6912117004394531,0.6977486610412598,0.5196787714958191,00:27
41,0.689820408821106,0.6984757781028748,0.5219529271125793,00:27
42,0.6909796595573425,0.6998374462127686,0.5175437927246094,00:27
43,0.687053918838501,0.6991665363311768,0.5260836482048035,00:27
44,0.6844735741615295,0.7003071308135986,0.5192146301269531,00:27
45,0.6850297451019287,0.7004643678665161,0.521767258644104,00:27
46,0.6908286809921265,0.7003436088562012,0.5219993591308594,00:27
47,0.687677800655365,0.7002981901168823,0.52227783203125,00:27
48,0.6906759738922119,0.7003244757652283,0.5219529271125793,00:27
49,0.6931520104408264,0.7003190517425537,0.521813690662384,00:27
